dgamma,x,Sx,Sy,Sz
3.333333E-005,-0.015,-0.1052831,-0.008497922,0.9307268
3.333333E-005,-0.01166667,-0.124381,-0.005885062,0.9531687
3.333333E-005,-0.008333333,-0.1389255,-0.003278241,0.9701678
3.333333E-005,-0.005,-0.1486613,-0.001231622,0.9815898
3.333333E-005,-0.001666667,-0.1535415,-0.0001280446,0.9873277
3.333333E-005,0.001666667,-0.1536281,-0.0001675111,0.9873142
3.333333E-005,0.005,-0.149042,-0.001350374,0.9815319
3.333333E-005,0.008333333,-0.1399425,-0.003462343,0.9700211
3.333333E-005,0.01166667,-0.1265047,-0.006066706,0.9528882
3.333333E-005,0.015,-0.1088741,-0.00851394,0.930314
6.666667E-005,-0.015,-0.1048429,-0.008495828,0.9307819
6.666667E-005,-0.01166667,-0.1239295,-0.005882042,0.9532224
6.666667E-005,-0.008333333,-0.1384631,-0.003274744,0.9702205
6.666667E-005,-0.005,-0.1481899,-0.001227596,0.981642
6.666667E-005,-0.001666667,-0.1530639,-0.0001232677,0.98738
6.666667E-005,0.001666667,-0.1531474,-0.0001618116,0.9873673
6.666667E-005,0.005,-0.1485614,-0.001343806,0.9815864
6.666667E-005,0.008333333,-0.1394652,-0.003455349,0.9700776
6.666667E-005,0.01166667,-0.126035,-0.006060222,0.952947
6.666667E-005,0.015,-0.1084173,-0.00850935,0.9303749
0.0001,-0.015,-0.1044078,-0.00849134,0.930795
0.0001,-0.01166667,-0.1234835,-0.005876463,0.9532327
0.0001,-0.008333333,-0.1380067,-0.003268567,0.9702289
0.0001,-0.005,-0.1477251,-0.001220818,0.9816491
0.0001,-0.001666667,-0.1525933,-0.0001157066,0.9873869
0.0001,0.001666667,-0.1526739,-0.0001533113,0.9873749
0.0001,0.005,-0.1480879,-0.001334418,0.9815957
0.0001,0.008333333,-0.138995,-0.0034455,0.9700896
0.0001,0.01166667,-0.1255718,-0.006050831,0.9529623
0.0001,0.015,-0.1079662,-0.008501812,0.9303936
0.0001333333,-0.015,-0.1039852,-0.008484523,0.9307653
0.0001333333,-0.01166667,-0.1230507,-0.005868379,0.9531989
0.0001333333,-0.008333333,-0.1375644,-0.00325976,0.9701919
0.0001333333,-0.005,-0.147275,-0.001211345,0.9816101
0.0001333333,-0.001666667,-0.1521379,-0.0001054254,0.9873471
0.0001333333,0.001666667,-0.1522158,-0.0001420847,0.9873357
0.0001333333,0.005,-0.1476298,-0.001322292,0.9815587
0.0001333333,0.008333333,-0.1385398,-0.003432879,0.9700559
0.0001333333,0.01166667,-0.125123,-0.006038612,0.952933
0.0001333333,0.015,-0.1075283,-0.00849139,0.9303693
0.0001666667,-0.015,-0.1035831,-0.00847545,0.930692
0.0001666667,-0.01166667,-0.1226396,-0.00585785,0.9531197
0.0001666667,-0.008333333,-0.1371447,-0.003248381,0.9701082
0.0001666667,-0.005,-0.1468485,-0.001199238,0.9815235
0.0001666667,-0.001666667,-0.1517068,-0.000092495,0.9872593
0.0001666667,0.001666667,-0.1517823,-0.0001282139,0.9872485
0.0001666667,0.005,-0.1471963,-0.001307519,0.9814739
0.0001666667,0.008333333,-0.1381087,-0.003417579,0.9699754
0.0001666667,0.01166667,-0.1246973,-0.006023648,0.9528582
0.0001666667,0.015,-0.107112,-0.008478152,0.9303011
0.0002,-0.015,-0.1032109,-0.008464198,0.930574
0.0002,-0.01166667,-0.1222596,-0.005844946,0.9529941
0.0002,-0.008333333,-0.1367577,-0.003234494,0.9699767
0.0002,-0.005,-0.1464559,-0.001184565,0.981388
0.0002,-0.001666667,-0.1513104,-7.699589E-005,0.9871219
0.0002,0.001666667,-0.151384,-0.0001117915,0.9871117
0.0002,0.005,-0.1467978,-0.0012902,0.98134
0.0002,0.008333333,-0.137712,-0.003399703,0.9698466
0.0002,0.01166667,-0.1243047,-0.006006035,0.9527365
0.0002,0.015,-0.1067268,-0.008462177,0.9301879
0.0002333333,-0.015,-0.1028789,-0.008450861,0.9304103
0.0002333333,-0.01166667,-0.121922,-0.005829746,0.9528207
0.0002333333,-0.008333333,-0.1364149,-0.003218176,0.9697956
0.0002333333,-0.005,-0.1461091,-0.001167409,0.9812017
0.0002333333,-0.001666667,-0.1509608,-5.902015E-005,0.9869332
0.0002333333,0.001666667,-0.151033,-9.292262E-005,0.9869234
0.0002333333,0.005,-0.1464464,-0.001270451,0.9811551
0.0002333333,0.008333333,-0.1373615,-0.003379367,0.969668
0.0002333333,0.01166667,-0.1239568,-0.005985878,0.9525665
0.0002333333,0.015,-0.1063837,-0.008443552,0.9300285
0.0002666667,-0.015,-0.1025998,-0.008435545,0.9301995
0.0002666667,-0.01166667,-0.1216397,-0.005812345,0.9525978
0.0002666667,-0.008333333,-0.1361298,-0.003199514,0.9695633
0.0002666667,-0.005,-0.1458219,-0.001147862,0.9809628
0.0002666667,-0.001666667,-0.1506722,-3.867363E-005,0.9866911
0.0002666667,0.001666667,-0.1507434,-7.172742E-005,0.9866817
0.0002666667,0.005,-0.1461563,-0.001248401,0.9809174
0.0002666667,0.008333333,-0.1370712,-0.003356702,0.9694376
0.0002666667,0.01166667,-0.1236669,-0.005963297,0.9523466
0.0002666667,0.015,-0.1060956,-0.008422374,0.9298216
